Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2025-11-03 17:49:05,false,"Strength","0,00","125","00:29:16","92","135","0,4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","342","171","16","-2","--","No","00:29:16","1","--","--","--","--","00:18:45","00:29:16","--","--"
Running,2025-11-03 15:22:41,false,"Diemen - Endurance Run","11,83","791","01:01:29","163","173","4,6","170","180","5:12","4:37","44","39","1,14","7,4","8,7","281","50,0% L / 50,0% R","5:11","--","--","321","0,0","--","319","442","--","--","--","10.338","--","--","-15","--","No","00:04:36,9","12","--","39","16","47","01:01:25","01:01:29","-5","8"
Running,2025-11-02 10:36:31,false,"Diemen - Long Run","16,05","1.042","01:23:05","161","171","5,0","169","178","5:11","4:29","33","29","1,15","7,8","9,2","279","50,9% L / 49,1% R","5:10","--","--","323","0,0","--","321","532","--","--","--","13.870","--","--","-18","--","No","00:00:14,7","17","--","38","13","45","01:23:01","01:23:05","-5","8"
Running,2025-11-01 09:27:05,false,"Diemen - Tempo Run","13,29","907","01:09:27","168","180","5,0","167","181","5:13","4:02","48","51","1,15","7,7","9,1","282","49,7% L / 50,3% R","5:14","--","--","325","0,0","--","321","477","--","--","--","11.476","--","--","-18","--","No","00:01:25,7","14","--","38","14","45","01:09:22","01:09:27","-3","10"
Strength Training,2025-10-30 17:37:48,false,"Strength","0,00","78","00:20:06","89","120","0,2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","312","156","15","-1","--","No","00:20:06","1","--","--","--","--","00:07:27,7","00:20:06","--","--"
Running,2025-10-29 10:38:28,false,"Diemen - Endurance Run","12,04","830","01:07:52","160","173","4,3","167","180","5:38","4:18","38","33","1,06","8,3","9,1","284","50,3% L / 49,8% R","5:38","--","--","335","0,0","--","302","3.871","--","--","--","11.198","--","--","-15","--","No","00:00:12,9","13","--","37","15","43","01:07:49","01:07:52","-5","8"
Running,2025-10-28 17:02:58,false,"Diemen - Intervall Session/Speed Work 6x4","9,61","659","00:54:55","156","185","4,3","166","196","5:43","2:57","41","40","1,04","8,4","8,6","280","50,6% L / 49,4% R","5:42","--","--","334","0,0","--","295","594","--","--","--","8.968","--","--","-13","--","No","00:00:02,5","19","--","36","16","50","00:54:50","00:54:55","-4","10"
Strength Training,2025-10-27 21:28:22,false,"Strength","0,00","109","00:18:45","105","138","0,7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","282","141","15","-1","--","No","00:18:45","1","--","--","--","--","00:10:03","00:18:45","--","--"
Virtual Cycling,2025-10-26 09:00:36,false,"Zwift - Group Ride: Zwift NL Weekend Warriors  (E) on France Classic Fondo in France","12,70","223","00:21:45","152","171","3,1","--","--","35,0","42,6","23","--","--","--","--","--","--","--","86","170","182","0,0","181","175","423","--","--","--","--","--","--","--","--","No","00:21:45","1","--","--","--","--","00:21:44","00:21:44","10","17"
Running,2025-10-25 16:57:58,false,"Amsterdam Running","1,98","136","00:10:45","162","174","2,8","169","226","5:26","4:03","19","19","1,10","7,8","8,4","290","50,2% L / 49,8% R","5:20","--","--","322","0,0","--","311","429","--","--","--","1.782","--","--","--","--","No","00:05:05,0","2","--","37","19","44","00:10:40","00:11:06","-6","14"
Running,2025-10-25 14:02:42,false,"Diemen Running","13,21","925","01:09:30","170","179","5,0","168","179","5:16","4:28","63","61","1,13","7,8","9,0","281","50,7% L / 49,3% R","5:14","--","--","327","0,0","--","323","460","--","--","--","11.566","--","--","-17","--","No","00:01:07,7","14","--","39","30","48","01:09:26","01:09:30","-5","16"
Virtual Cycling,2025-10-21 10:42:11,false,"Zwift - Escalating 3min VO2max on The Fan Flats in Richmond","25,30","377","00:52:19","136","171","3,0","--","--","29,0","43,8","98","--","--","--","--","--","--","--","74","94","144","0,0","138","125","318","--","--","--","--","--","--","--","--","No","00:00:18","21","--","--","--","--","00:52:18","00:52:18","52","65"
Running,2025-10-19 10:01:40,false,"Diemen Running","6,23","371","00:27:51","161","185","3,9","176","207","4:28","2:32","18","9","1,27","6,6","8,6","264","50,3% L / 49,8% R","4:29","--","--","376","0,0","--","376","758","--","--","--","4.832","--","--","-14","--","No","00:00:54,2","7","--","38","17","49","00:27:48","01:41:38","-5","7"
Virtual Cycling,2025-10-18 11:40:28,false,"Zwift - Free Ride Sandwich on London 8 in London","22,34","396","00:53:22","138","163","3,0","--","--","25,1","73,2","272","--","--","--","--","--","--","--","83","162","140","0,0","142","129","409","--","--","--","--","--","--","--","--","No","00:00:21","9","--","--","--","--","00:53:21","00:53:21","3","156"
Virtual Cycling,2025-10-17 11:54:39,false,"Zwift - Steady Climbing #1 on Volcano Flat in Watopia","26,09","386","00:54:17","145","167","3,0","--","--","28,8","44,0","104","--","--","--","--","--","--","--","78","163","133","0,0","137","123","333","--","--","--","--","--","--","--","--","No","00:00:16","16","--","--","--","--","00:54:16","00:54:16","-6","20"
Running,2025-10-15 08:45:17,false,"Diemen Running","5,72","368","00:26:39","170","183","4,2","174","183","4:40","3:42","10","6","1,23","6,8","8,6","274","50,3% L / 49,7% R","4:40","--","--","352","0,0","--","350","459","--","--","--","4.580","--","--","-7","--","No","00:03:07,6","6","--","40","20","47","00:26:37","00:26:39","-4","7"
Virtual Cycling,2025-10-15 07:34:01,false,"Zwift - 10/8/4min Threshold in Watopia","27,17","438","00:59:02","134","164","3,0","--","--","27,6","63,8","214","--","--","--","--","--","--","--","66","80","141","0,0","144","129","358","--","--","--","--","--","--","--","--","No","00:00:02","48","--","--","--","--","00:53:56","01:01:06","-6","58"
Virtual Cycling,2025-10-14 18:24:19,false,"Zwift - 10/8/4min Threshold on Suki s Playground in Makuri Islands","14,39","222","00:31:34","124","153","2,4","--","--","27,3","50,0","105","--","--","--","--","--","--","--","67","147","136","0,0","134","123","294","--","--","--","--","--","--","--","--","No","00:00:20","26","--","--","--","--","00:31:33","00:31:33","65","140"
Cycling,2025-10-09 15:14:56,false,"Aachen Cycling - CyberDavos 2025","19,23","409","01:31:28","97","133","1,2","--","--","12,6","25,7","114","106","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","--","--","-8","--","No","00:17:47","4","--","--","--","--","01:21:16","03:59:21","174","273"
Running,2025-10-04 12:18:24,false,"Diemen Running","5,33","350","00:24:54","172","183","3,8","172","183","4:40","4:08","53","42","1,24","7,2","9,2","270","50,6% L / 49,4% R","4:38","--","--","373","0,0","--","370","512","--","--","--","4.242","--","--","-7","--","No","00:01:27,4","6","--","39","17","49","00:24:53","00:24:54","-13","9"
Virtual Cycling,2025-10-04 10:56:01,false,"Zwift - Cruise Intervals #4 on 2018 Worlds Short Lap in Innsbruck","20,26","491","00:59:08","145","170","3,3","--","--","20,6","79,2","467","--","--","--","--","--","--","--","77","157","155","0,0","159","145","354","--","--","--","--","--","--","--","--","No","00:00:07","17","--","--","--","--","00:59:03","00:59:07","280","696"
Running,2025-09-28 10:02:15,false,"Diemen Running","8,02","541","00:42:06","155","169","3,6","171","189","5:15","4:50","15","15","1,11","7,8","8,9","274","50,3% L / 49,7% R","5:16","--","--","310","0,0","--","309","400","--","--","--","7.122","--","--","-11","--","No","00:00:06,2","9","--","37","18","42","00:42:03","00:42:06","-3","5"
Virtual Cycling,2025-09-21 10:00:44,false,"Zwift - Group Ride: Zwift NL Weekend Warriors  (E) on Sacre Bleu in France","31,31","517","01:00:02","145","171","3,3","--","--","31,3","48,9","196","--","--","--","--","--","--","--","85","165","162","0,0","176","149","411","--","--","--","--","--","--","--","--","No","01:00:02","1","--","--","--","--","01:00:01","01:00:01","10","34"
Virtual Cycling,2025-09-20 15:27:05,false,"Zwift - Micro Into Threshold on Beach Island Loop in Watopia","27,50","421","00:57:20","135","155","2,8","--","--","28,8","46,6","110","--","--","--","--","--","--","--","82","126","137","0,0","142","128","406","--","--","--","--","--","--","--","--","No","00:00:15","44","--","--","--","--","00:57:19","00:57:19","-6","16"
Virtual Cycling,2025-09-19 12:35:03,false,"Zwift - Threshold #4 on Jungle Circuit in Watopia","22,63","415","00:58:14","138","162","2,9","--","--","23,3","49,3","191","--","--","--","--","--","--","--","85","158","137","0,0","136","124","322","--","--","--","--","--","--","--","--","No","00:00:13","23","--","--","--","--","00:58:12","00:58:13","0","100"
Virtual Cycling,2025-09-18 13:20:03,false,"Zwift - Extensive Anaerobic #1 on Ocean Lava Cliffside Loop in Watopia","20,66","422","00:54:47","140","169","3,0","--","--","22,6","57,1","314","--","--","--","--","--","--","--","87","154","146","0,0","149","134","409","--","--","--","--","--","--","--","--","No","00:00:16","10","--","--","--","--","00:54:46","00:54:46","0","132"
Running,2025-09-13 14:25:47,false,"Almere Running","21,14","1.397","01:42:59","162","178","5,0","175","185","4:52","4:05","64","59","1,18","6,1","7,5","286","49,3% L / 50,7% R","4:52","--","--","318","0,0","--","317","427","--","--","--","17.814","--","--","-12","--","No","00:00:37,0","22","--","37","25","45","01:42:55","01:42:59","-8","2"
